,index,State,Crop,Year,Season,Production
0,15849,Punjab,Rice,1997-98,Kharif,7904000.0
1,15850,Punjab,Rice,1998-99,Kharif,7940000.0
2,15851,Punjab,Rice,1999-00,Kharif,8716000.0
3,15852,Punjab,Rice,2000-01,Kharif,9154000.0
4,15853,Punjab,Rice,2001-02,Kharif,8816000.0
5,15854,Punjab,Rice,2002-03,Kharif,8880000.0
6,15855,Punjab,Rice,2003-04,Kharif,9656000.0
7,15856,Punjab,Rice,2004-05,Kharif,10437000.0
8,15857,Punjab,Rice,2005-06,Kharif,10193000.0
9,15858,Punjab,Rice,2006-07,Kharif,10138000.0
10,15859,Punjab,Rice,2007-08,Kharif,10489000.0
11,15860,Punjab,Rice,2008-09,Kharif,11000000.0
12,15861,Punjab,Rice,2009-10,Kharif,11236000.0
13,15862,Punjab,Rice,2010-11,Kharif,10837000.0
14,15863,Punjab,Rice,2011-12,Kharif,10542000.0
15,15864,Punjab,Rice,2012-13,Kharif,11390000.0
16,15865,Punjab,Rice,2013-14,Kharif,11267000.0
17,15866,Punjab,Rice,2014-15,Kharif,11107000.0
18,15867,Punjab,Rice,2015-16,Kharif,11823000.0
19,15868,Punjab,Rice,2016-17,Kharif,12638000.0
20,15869,Punjab,Rice,2017-18,Kharif,13382000.0
21,15870,Punjab,Rice,2018-19,Kharif,12822000.0
22,15871,Punjab,Rice,2019-20,Kharif,12675000.0
